=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.07.28 19:47:18 =~=~=~=~=~=~=~=~=~=~=~=
00:02:52.019: Update in progress (Total 592432/840672 bytes).  70%
00:02:57.978: Update in progress (Total 707672/840672 bytes).  84%
00:02:58.009: Update in progress (Total 708208/840672 bytes).  84%
00:02:58.065: Update in progress (Total 710352/840672 bytes).  84%
00:02:58.080: Update in progress (Total 712496/840672 bytes).  85%
00:02:58.151: Update in progress (Total 714640/840672 bytes).  85%
00:02:58.298: Update in progress (Total 716784/840672 bytes).  85%
00:02:58.377: Update in progress (Total 718928/840672 bytes).  86%
00:02:58.473: Update in progress (Total 719464/840672 bytes).  86%
00:02:58.490: Update in progress (Total 720000/840672 bytes).  86%
00:02:58.597: Update in progress (Total 722144/840672 bytes).  86%
00:02:58.749: Update in progress (Total 723216/840672 bytes).  86%
00:02:58.798: Update in progress (Total 724824/840672 bytes).  86%
00:02:59.032: Update in progress (Total 726968/840672 bytes).  86%
00:02:59.176: Update in progress (Total 727504/840672 bytes).  87%
00:02:59.185: Update in progress (Total 728040/840672 bytes).  87%
00:02:59.277: Update in progress (Total 730184/840672 bytes).  87%
00:02:59.390: Update in progress (Total 732328/840672 bytes).  87%
00:02:59.465: Update in progress (Total 735008/840672 bytes).  87%
00:02:59.554: Update in progress (Total 735544/840672 bytes).  87%
00:02:59.562: Update in progress (Total 736080/840672 bytes).  88%
00:02:59.577: Update in progress (Total 736616/840672 bytes).  88%
00:02:59.613: Update in progress (Total 737152/840672 bytes).  88%
00:02:59.689: Update in progress (Total 739296/840672 bytes).  88%
00:02:59.822: Update in progress (Total 740368/840672 bytes).  88%
00:02:59.893: Update in progress (Total 743048/840672 bytes).  88%
00:02:59.907: Update in progress (Total 744120/840672 bytes).  89%
00:02:59.977: Update in progress (Total 746800/840672 bytes).  89%
00:03:00.087: Update in progress (Total 747336/840672 bytes).  89%
00:03:00.121: Update in progress (Total 747872/840672 bytes).  89%
00:03:00.153: Update in progress (Total 748408/840672 bytes).  89%
00:03:00.184: Update in progress (Total 748944/840672 bytes).  89%
00:03:00.329: Update in progress (Total 751624/840672 bytes).  89%
00:03:00.394: Update in progress (Total 752160/840672 bytes).  89%
00:03:00.428: Update in progress (Total 753232/840672 bytes).  90%
00:03:00.513: Update in progress (Total 754304/840672 bytes).  90%
00:03:00.521: Update in progress (Total 754840/840672 bytes).  90%
00:03:00.529: Update in progress (Total 755376/840672 bytes).  90%
00:03:00.553: Update in progress (Total 757520/840672 bytes).  90%
00:03:00.654: Update in progress (Total 759664/840672 bytes).  90%
00:03:00.738: Update in progress (Total 761808/840672 bytes).  91%
00:03:00.827: Update in progress (Total 763952/840672 bytes).  91%
00:03:00.910: Update in progress (Total 767168/840672 bytes).  91%
00:03:00.973: Update in progress (Total 769312/840672 bytes).  92%
00:03:01.118: Update in progress (Total 771992/840672 bytes).  92%
00:03:01.478: Update in progress (Total 774136/840672 bytes).  92%
00:03:01.532: Update in progress (Total 776280/840672 bytes).  92%
00:03:01.599: Update in progress (Total 778960/840672 bytes).  93%
00:03:01.647: Update in progress (Total 779496/840672 bytes).  93%
00:03:01.716: Update in progress (Total 780032/840672 bytes).  93%
00:03:01.729: Update in progress (Total 780568/840672 bytes).  93%
00:03:01.750: Update in progress (Total 781104/840672 bytes).  93%
00:03:01.762: Update in progress (Total 781640/840672 bytes).  93%
00:03:01.843: Update in progress (Total 784320/840672 bytes).  93%
00:03:01.932: Update in progress (Total 785392/840672 bytes).  93%
00:03:01.944: Update in progress (Total 785928/840672 bytes).  93%
00:03:02.028: Update in progress (Total 788072/840672 bytes).  94%
00:03:02.073: Update in progress (Total 790216/840672 bytes).  94%
00:03:02.154: Update in progress (Total 792360/840672 bytes).  94%
00:03:02.233: Update in progress (Total 794504/840672 bytes).  95%
00:03:02.325: Update in progress (Total 796648/840672 bytes).  95%
00:03:02.511: Update in progress (Total 798256/840672 bytes).  95%
00:03:02.583: Update in progress (Total 799328/840672 bytes).  95%
00:03:02.729: Update in progress (Total 800936/840672 bytes).  95%
00:03:02.810: Update in progress (Total 803616/840672 bytes).  96%
00:03:02.861: Update in progress (Total 805760/840672 bytes).  96%
00:03:02.961: Update in progress (Total 808440/840672 bytes).  96%
00:03:02.975: Update in progress (Total 809512/840672 bytes).  96%
00:03:02.987: Update in progress (Total 810048/840672 bytes).  96%
00:03:03.005: Update in progress (Total 810584/840672 bytes).  96%
00:03:03.092: Update in progress (Total 812192/840672 bytes).  97%
00:03:03.125: Update in progress (Total 812728/840672 bytes).  97%
00:03:03.164: Update in progress (Total 814872/840672 bytes).  97%
00:03:03.237: Update in progress (Total 817016/840672 bytes).  97%
00:03:03.415: Update in progress (Total 817552/840672 bytes).  97%
00:03:03.422: Update in progress (Total 818088/840672 bytes).  97%
00:03:03.430: Update in progress (Total 818624/840672 bytes).  97%
00:03:03.453: Update in progress (Total 819160/840672 bytes).  97%
00:03:03.819: Update in progress (Total 821304/840672 bytes).  98%
00:03:03.850: Update in progress (Total 821840/840672 bytes).  98%
00:03:03.922: Update in progress (Total 822912/840672 bytes).  98%
00:03:04.008: Update in progress (Total 823448/840672 bytes).  98%
00:03:04.045: Update in progress (Total 823984/840672 bytes).  98%
00:03:04.101: Update in progress (Total 826128/840672 bytes).  98%
00:03:04.275: Update in progress (Total 833632/840672 bytes).  99%
00:03:04.451: Update in progress (Total 834168/840672 bytes).  99%
00:03:04.542: Update in progress (Total 834704/840672 bytes).  99%
00:03:04.549: Update in progress (Total 835240/840672 bytes).  99%
00:03:04.602: Update in progress (Total 837384/840672 bytes).  100%
00:03:04.612: Update in progress (Total 839528/840672 bytes).  100%
00:03:04.693: Update in progress (Total 840672/840672 bytes).  100%
00:03:07.025: Finished update by OTA. Restart in 2sec...
00:03:07.028: RESTART: Arduino OTA from port
0
00:03:11.032: MQTT: Disconnected from MQTT. Reason: 0. TCP_DISCONNECTED. Trying to reconnect.
state: 5 -> 0 (0)
rm 0
00:03:11.122: WiFi Task: Disconnected from Wi-Fi.
del if0
bcn 0
del if1
usl

 ets Jan  8 2013,rst cause:4, boot mode:(3,6)

wdt reset
load 0x4010f000, len 3460, room 16 
tail 4
chksum 0xcc
load 0x3fff20b8, len 40, room 4 
tail 4
chksum 0xc9
csum 0xc9
v000cd380
@cp:B0
ld

SDK:2.2.2-dev(38a443e)/Core:3.0.2=30002000/lwIP:STABLE-2_1_2_RELEASE/glue:1.2-48-g7421258/BearSSL:6105635
Starting... MainSetup...
00:00:11.071: FS started. Contents:
00:00:11.085:   FS File: config.cfg, size: 1.23kB
00:00:11.094:   FS File: favicon.ico, size: 1.12kB
00:00:11.096:   FS File: index-mini.css, size: 9.27kB
00:00:11.099:   FS File: index.css, size: 14.01kB
00:00:11.108:   FS File: index.html, size: 27.52kB
00:00:11.111:   FS File: index.js, size: 14.38kB
00:00:11.120:   FS File: roboto.eot.gz, size: 76.33kB
00:00:11.128:   FS File: roboto.svg.gz, size: 53.35kB
00:00:11.137:   FS File: roboto.ttf.gz, size: 76.21kB
00:00:11.145:   FS File: roboto.woff.gz, size: 78.61kB
00:00:11.153:   FS File: robots.txt, size: 0B
00:00:11.162:   FS File: success.html, size: 761B
00:00:11.258: Config loaded. SSID: RGW
00:00:11.260: Config loaded. SSID: RGW, Pass: 48795660266
00:00:11.263: MQTT_Setup. ClientID: opentherm-thermostat, server: ha.marm:1883, Uname: mqqt/wknpim78
00:00:11.266: SetupWiFi...Connecting to: RGW
fpm close 1 
mode : sta(bc:dd:c2:bb:05:0b) + softAP(be:dd:c2:bb:05:0b)
add if0
add if1
dhcp server start:(ip:192.168.4.1,mask:255.255.255.0,gw:192.168.4.1)
bcn 100
bcn 0
del if1
add if1
dhcp server start:(ip:192.168.4.1,mask:255.255.255.0,gw:192.168.4.1)
bcn 100
00:00:11.294: Connecting to Wi-Fi...
00:00:11.298: SSID: RGW  PASS: 48795660266
.....scandone
state: 0 -> 2 (b0)
.state: 2 -> 3 (0)
state: 3 -> 5 (10)
add 0
aid 3
cnt 

connected with RGW, channel 1
dhcp client start...
ip:10.48.18.28,mask:255.255.255.0,gw:10.48.18.10
00:00:15.120: WiFi Task: Connected to Wi-Fi.
00:00:15.122: MQTT: Connecting to MQTT...
00:00:15.368: MQTT: Connected to MQTT.
00:00:15.371: Session present: No
00:00:15.372: MQTT Reconnect Subscribe List...
00:00:15.386: !!!!!!MQTT: Publish received.
00:00:15.389: !!!!!!MQTT: Publish received.
00:00:15.392: MQTT callback Topic: COWoda0/sensor/boilerroom/attributes, Received 550B message ...: {"rssi":-64,"CRT":50,"uptime":647518,"CO0_outside_temperature_North": 19.88,"CO0_outside_temperature_East": 19.19,"CO0_outside_temperature_West": 22.38,"CO0_outside_temperature_South": 20.06,"CO0_outside_temperature_Averange": 20.38,"CO0_boilerroom_temperature_CO": 20.63,"CO0_boilerroom_temperature_Water": 20.94,"CO0_boilerroom_temperature": 24.30,"CO0_boilerroom_pressure": 993,"CO0_boilerroom_high": 0.00,"CO0_boilerroom_highreal": 0.00,"CO0_boilerroom_gasCO": 24.00,"CO0_boilerroom_pump1Water_Energy": 0.01,"CO0_boilerroom_pump2CO_Energy": 0.01}
00:00:15.443: Value is valid number: 20.38
00:00:15.445: NEWS temp  updated from MQTT to: 20.38
00:00:15.450: !!!!!!MQTT: Publish received.
00:00:15.453: MQTT callback Topic: COWoda0/switch/boilerroom/attributes, Received 77B message ...: {"CRT":50,"CO0_boilerroom_pump1Water": "OFF","CO0_boilerroom_pump2CO": "OFF"}
00:00:15.470: PayloadStatus. PayloadStr: OFF
00:00:15.473: PayloadStatus. PayloadStr: OFF
00:00:15.477: Wood/coax CO Pump Status  to:  Disabled
00:00:15.482: PayloadStatus. PayloadStr: OFF
00:00:15.486: PayloadStatus. PayloadStr: OFF
00:00:15.489: Wood/coax Water Pump Status  to:  Disabled
00:00:15.495: !!!!!!MQTT: Publish received.
00:00:15.502: !!!!!!MQTT: Publish received.
00:00:15.505: MQTT callback Topic: FLOORH1/sensor/room/attributes, Received 807B message ...: {"rssi":-89,"HallSensor1":65,"CRT":683,"FL1_room_temperature_1": 21.94,"FL1_room_temperature_setpoint_1": 21.00,"FL1_room_temperature_2": 22.62,"FL1_room_temperature_setpoint_2": 21.00,"FL1_room_temperature_4": 23.94,"FL1_room_temperature_setpoint_4": 22.00,"FL1_room_temperature_5": 28.80,"FL1_room_temperature_setpoint_5": 20.50,"FL1_room_temperature_6": 23.44,"FL1_room_temperature_setpoint_6": 22.50,"FL1_room_temperature_9": 23.31,"FL1_room_temperature_setpoint_9": 27.00,"FL1_room_temperature_10": 23.50,"FL1_room_temperature_setpoint_10": 20.50,"FL1_room_temperature_12": 23.19,"FL1_room_temperature_13": 30.06,"FL1_room_temperature_0": 21.94,"FL1_room_temperature_setpoint_0": 22.50,"FL1_room_temperature_0_DHT_Temp": 29.50,"FL1_room_humidity_0_DHT_Humid": 42.30,"FL1_room_pumpstate_0_pumpstate": 0}
00:00:15.584: Value is valid number: 21.94
00:00:15.586: Floor1temp  set to: 21.94
00:00:15.591: Value is valid number: 22.50
00:00:15.593: Floor1temp  Setpoint set to: 22.50
00:00:15.601: !!!!!!MQTT: Publish received.
00:00:15.604: !!!!!!MQTT: Publish received.
00:00:15.607: MQTT callback Topic: FLOORH2/sensor/room/attributes, Received 735B message ...: {"rssi":-76,"HallSensor2":99,"CRT":3206,"FL2_room_temperature_1": 22.44,"FL2_room_temperature_setpoint_1": 24.50,"FL2_room_temperature_2": 23.00,"FL2_room_temperature_setpoint_2": 23.50,"FL2_room_temperature_4": 23.00,"FL2_room_temperature_setpoint_4": 23.50,"FL2_room_temperature_6": 23.06,"FL2_room_temperature_setpoint_6": 23.50,"FL2_room_temperature_9": 22.75,"FL2_room_temperature_setpoint_9": 27.50,"FL2_room_temperature_10": 22.75,"FL2_room_temperature_setpoint_10": 20.50,"FL2_room_temperature_12": 23.00,"FL2_room_temperature_13": 30.06,"FL2_room_temperature_0": 22.44,"FL2_room_temperature_setpoint_0": 24.50,"FL2_room_temperature_0_DHT_Temp": 29.50,"FL2_room_humidity_0_DHT_Humid": 33.40,"FL2_room_pumpstate_0_pumpstate": 0}
00:00:15.680: Value is valid number: 22.44
00:00:15.682: Floor2temp  set to: 22.44
00:00:15.686: Value is valid number: 24.50
00:00:15.688: Floor2temp  Setpoint set to: 24.50
.00:00:15.695: WiFi Connected OK
00:00:15.697: Hostname: ESP-BB050B, LocalIP: 10.48.18.28
00:00:15.700: Setup Arduino OTA...
00:00:15.705: Setup DNS...
00:00:15.709: WebSocket server started.
00:00:15.728: HTTP server started.
00:00:15.731: Update Data to www
00:00:15.736: Flame_Total: 0.00 (< 1 s. ), CO: 0.00 (< 1 s. ), DHW: 0.00 (< 1 s. )
00:00:15.789: Connected to InfluxDB: http://ha.marm:8086
00:00:15.791: 4: software restart ,system_restart , GPIO status won’t change
00:00:16.798: Dallas Temp: -127.00
00:00:16.801: end setup....
00:00:16.804: MainLoop: ArduinoOTA
00:00:16.806: MainLoop: checkWifi
00:00:16.808: MainLoop: Websocket cleanup
00:00:16.809: MainLoopInLoop: loop begin updatedatatowww
00:00:16.811: Update Data to www
00:00:16.816: Flame_Total: 0.00 (< 1 s. ), CO: 0.00 (< 1 s. ), DHW: 0.00 (< 1 s. )
00:00:16.820: MainLoopInLoop: notifyclients to /ws in JSON
00:00:16.827: MainLoopInLoop: Influx validateconnection
00:00:17.152: Connected to InfluxDB: http://ha.marm:8086
00:00:17.154: MainLoopInLoop: message str builder to log
00:00:17.157: stats: Uptime: 17s.  ## Free memory: 60% 19.10kB bytes ## Wifi: 78% ## Mqtt reconnects: 0
00:00:17.162: MainLoopInLoop: stats string builder to json
00:00:17.168: MainLoopInLoop: mqttAsync send stats
00:00:17.173: MainLoopInLoop: mqttAsync send WillTopic
00:00:17.177: MainLoop2ndTimed: entry on mqttmessage or time
00:00:17.182: Update MQTT and influxDB. lastUpdatemqtt: 00d00h00m00s.000 receivedmqttdata: 1 mqttUpdateInterval_ms: 60000
00:00:17.193: MainLoop2ndTimed: Update InfluxDB
00:00:17.197: Sending data to InfluxDB ...
00:00:17.208: Writing to InfluxDB:
00:00:17.212: MainLoop2ndTimed: Update MQTT data
00:00:17.214: Sending data to MQTT ...
00:00:17.216: EnableHW: on
00:00:17.218: Status_Cooling: on
00:00:17.221: mqtt publish HomeAssistant start
00:00:17.278: Update_OpenTherm_data
00:00:17.284: Get Temps: floor2_temp: 22.44/24.50, floor1_temp: 21.94/22.50, roomtemp: 22.19/23.50
00:00:17.286: Statusy openth: COHEAT: stoi, DHW: chodzi, automodeCO: stoi, temp_NEWS: 20.38
00:00:17.484: Processed Opentherm and get response
00:00:17.487: Set statuses from dhwTarget
00:00:17.685: Set statuses from op
00:00:17.884: Set statuses from opentherm
00:00:17.886: Set statuses from isCentralHeatingActive
00:00:17.888: Set statuses from isHotWaterActive
00:00:17.890: Set statuses from isFlameOn
00:00:17.892: Set statuses from isCoolingActive
00:00:17.896: Set statuses from isDiagnostic
00:00:18.093: Set statuses from getModulation
00:00:18.288: Set statuses from getBoilerTemperature
00:00:18.485: Set statuses from getDHWTemperature
00:00:18.686: Set statuses from getReturnTemperature
00:00:18.886: Set statuses from getPressure
00:00:18.889: Set statuses from opentherm
00:00:18.890: Set fault status from opentherm
00:00:18.892: Saving config to EEPROM memory...
00:00:18.894: Saving config...........................prepare
00:00:18.937: Saving config...........................Something changed w/l: 108368/108380
00:00:19.111: Current temperature 18B20: -127.00 °C
00:00:19.115: MainLoop: ArduinoOTA
00:00:19.123: MainLoop: checkWifi
00:00:19.126: MainLoop: Websocket cleanup
00:00:19.128: MainLoopInLoop: loop begin updatedatatowww
00:00:19.130: Update Data to www
00:00:19.134: Flame_Total: 0.00 (< 1 s. ), CO: 0.00 (< 1 s. ), DHW: 0.00 (< 1 s. )
00:00:19.137: MainLoopInLoop: notifyclients to /ws in JSON
00:00:19.144: MainLoopInLoop: Influx validateconnection
00:00:19.373: Connected to InfluxDB: http://ha.marm:8086
00:00:19.375: MainLoopInLoop: message str builder to log
00:00:19.378: stats: Uptime: 19s.  ## Free memory: 57% 18.07kB bytes ## Wifi: 78% ## Mqtt reconnects: 0
00:00:19.383: MainLoopInLoop: stats string builder to json
00:00:19.389: MainLoopInLoop: mqttAsync send stats
00:00:19.394: MainLoopInLoop: mqttAsync send WillTopic
00:00:19.398: Update_OpenTherm_data
00:00:19.402: Get Temps: floor2_temp: 22.44/24.50, floor1_temp: 21.94/22.50, roomtemp: 22.19/23.50
00:00:19.410: Statusy openth: COHEAT: stoi, DHW: chodzi, automodeCO: stoi, temp_NEWS: 20.38
00:00:19.611: Processed Opentherm and get response
00:00:19.613: Set statuses from dhwTarget
00:00:19.808: Set statuses from op
00:00:20.003: Set statuses from opentherm
00:00:20.005: Set statuses from isCentralHeatingActive
00:00:20.007: Set statuses from isHotWaterActive
00:00:20.009: Set statuses from isFlameOn
00:00:20.011: Set statuses from isCoolingActive
00:00:20.016: Set statuses from isDiagnostic
00:00:20.123: [1] Connected from 10.48.18.131
00:00:20.126: [1] get Text WS_EVT_DATA.
00:00:20.212: Set statuses from getModulation
00:00:20.407: Set statuses from getBoilerTemperature
00:00:20.602: Set statuses from getDHWTemperature
00:00:20.798: Set statuses from getReturnTemperature
00:00:20.993: Set statuses from getPressure
00:00:20.997: Set statuses from opentherm
00:00:20.999: Set fault status from opentherm
00:00:21.003: MainLoop: ArduinoOTA
00:00:21.011: MainLoop: checkWifi
00:00:21.013: MainLoop: Websocket cleanup
00:00:21.015: MainLoop3rdTimed: Ledblonk
00:00:21.018: Update_OpenTherm_data
00:00:21.021: Get Temps: floor2_temp: 22.44/24.50, floor1_temp: 21.94/22.50, roomtemp: 22.19/23.50
00:00:21.025: Statusy openth: COHEAT: stoi, DHW: chodzi, automodeCO: stoi, temp_NEWS: 20.38
00:00:21.291: Processed Opentherm and get response
00:00:21.294: Set statuses from dhwTarget
00:00:21.492: Set statuses from op
00:00:21.693: Set statuses from opentherm
00:00:21.695: Set statuses from isCentralHeatingActive
00:00:21.698: Set statuses from isHotWaterActive
00:00:21.700: Set statuses from isFlameOn
00:00:21.702: Set statuses from isCoolingActive
00:00:21.705: Set statuses from isDiagnostic
00:00:21.902: Set statuses from getModulation
00:00:22.097: Set statuses from getBoilerTemperature
00:00:22.293: Set statuses from getDHWTemperature
00:00:22.493: Set statuses from getReturnTemperature
00:00:22.695: Set statuses from getPressure
00:00:22.697: Set statuses from opentherm
00:00:22.699: Set fault status from opentherm
00:00:22.703: MainLoop: ArduinoOTA
00:00:22.711: MainLoop: checkWifi
00:00:22.714: MainLoop: Websocket cleanup
00:00:22.716: MainLoopInLoop: loop begin updatedatatowww
00:00:22.719: Update Data to www
00:00:22.724: Flame_Total: 0.00 (< 1 s. ), CO: 0.00 (< 1 s. ), DHW: 0.00 (< 1 s. )
00:00:22.726: MainLoopInLoop: notifyclients to /ws in JSON
00:00:22.732: MainLoopInLoop: Influx validateconnection
00:00:22.921: Connected to InfluxDB: http://ha.marm:8086
00:00:22.924: MainLoopInLoop: message str builder to log
00:00:22.927: stats: Uptime: 22s.  ## Free memory: 47% 14.75kB bytes ## Wifi: 78% ## Mqtt reconnects: 0
00:00:22.932: MainLoopInLoop: stats string builder to json
00:00:22.937: MainLoopInLoop: mqttAsync send stats
00:00:22.942: MainLoopInLoop: mqttAsync send WillTopic
00:00:22.947: Update_OpenTherm_data
00:00:22.950: Get Temps: floor2_temp: 22.44/24.50, floor1_temp: 21.94/22.50, roomtemp: 22.19/23.50
00:00:22.958: Statusy openth: COHEAT: stoi, DHW: chodzi, automodeCO: stoi, temp_NEWS: 20.38
00:00:23.195: Processed Opentherm and get response
00:00:23.197: Set statuses from dhwTarget
00:00:23.395: Set statuses from op
00:00:23.596: Set statuses from opentherm
00:00:23.598: Set statuses from isCentralHeatingActive
00:00:23.600: Set statuses from isHotWaterActive
00:00:23.603: Set statuses from isFlameOn
00:00:23.605: Set statuses from isCoolingActive
00:00:23.608: Set statuses from isDiagnostic
00:00:23.804: Set statuses from getModulation
00:00:24.000: Set statuses from getBoilerTemperature
00:00:24.197: Set statuses from getDHWTemperature
00:00:24.397: Set statuses from getReturnTemperature
00:00:24.598: Set statuses from getPressure
00:00:24.600: Set statuses from opentherm
00:00:24.602: Set fault status from opentherm
00:00:24.606: MainLoop: ArduinoOTA
00:00:24.608: MainLoop: checkWifi
00:00:24.611: MainLoop: Websocket cleanup
00:00:24.613: MainLoop3rdTimed: Ledblonk
00:00:24.616: Update_OpenTherm_data
00:00:24.619: Get Temps: floor2_temp: 22.44/24.50, floor1_temp: 21.94/22.50, roomtemp: 22.19/23.50
00:00:24.626: Statusy openth: COHEAT: stoi, DHW: chodzi, automodeCO: stoi, temp_NEWS: 20.38
00:00:24.898: Processed Opentherm and get response
00:00:24.901: Set statuses from dhwTarget
00:00:25.099: Set statuses from op
00:00:25.299: Set statuses from opentherm
00:00:25.301: Set statuses from isCentralHeatingActive
00:00:25.303: Set statuses from isHotWaterActive
00:00:25.305: Set statuses from isFlameOn
00:00:25.308: Set statuses from isCoolingActive
00:00:25.311: Set statuses from isDiagnostic
00:00:25.508: Set statuses from getModulation
00:00:25.703: Set statuses from getBoilerTemperature
00:00:25.900: Set statuses from getDHWTemperature
00:00:26.101: Set statuses from getReturnTemperature
00:00:26.301: Set statuses from getPressure
00:00:26.303: Set statuses from opentherm
00:00:26.306: Set fault status from opentherm
00:00:26.309: MainLoop: ArduinoOTA
00:00:26.318: MainLoop: checkWifi
00:00:26.321: MainLoop: Websocket cleanup
00:00:26.323: MainLoopInLoop: loop begin updatedatatowww
00:00:26.325: Update Data to www
00:00:26.330: Flame_Total: 0.00 (< 1 s. ), CO: 0.00 (< 1 s. ), DHW: 0.00 (< 1 s. )
00:00:26.333: MainLoopInLoop: notifyclients to /ws in JSON
00:00:26.339: MainLoopInLoop: Influx validateconnection
00:00:26.465: Connected to InfluxDB: http://ha.marm:8086
00:00:26.468: MainLoopInLoop: message str builder to log
00:00:26.471: stats: Uptime: 26s.  ## Free memory: 45% 14.41kB bytes ## Wifi: 84% ## Mqtt reconnects: 0
00:00:26.475: MainLoopInLoop: stats string builder to json
00:00:26.481: MainLoopInLoop: mqttAsync send stats
00:00:26.486: MainLoopInLoop: mqttAsync send WillTopic
00:00:26.491: MainLoop3rdTimed: Ledblonk
00:00:26.494: Update_OpenTherm_data
00:00:26.497: Get Temps: floor2_temp: 22.44/24.50, floor1_temp: 21.94/22.50, roomtemp: 22.19/23.50
00:00:26.506: Statusy openth: COHEAT: stoi, DHW: chodzi, automodeCO: stoi, temp_NEWS: 20.38
00:00:26.706: Processed Opentherm and get response
